race_id,goal_order, start_number, horse_name, horse_age, weight,jockey_id,single_odds,hourse_weight,weight_change
202210030405,11,7,カミーロ,2,51.0,01199,38.6,466,0,8.05
202210030405,12,5,アナザーエース,2,52.0,01191,129.6,476,0,23.4
202210030406,1,9,アロマデローサ,2,54.0,01014,3.4,440,0,1.4
202210030406,2,4,クインズエルサ,2,54.0,01157,2.7,422,0,1.4
202210030406,3,8,フェリキタス,2,52.0,01191,35.8,422,0,6.449999999999999
202210030406,4,5,テイケイヴィーノ,2,54.0,01180,119.4,410,0,18.45
202210030406,5,2,ミヤジミニー,2,50.0,01193,5.3,432,0,2.05
202210030406,6,3,クリノクリスタル,2,54.0,00732,13.4,450,0,3.45
202210030406,7,13,フェステスバント,2,54.0,01116,12.1,396,0,2.8
202210030406,8,6,ベロニカブレイン,2,53.0,01176,61.8,424,0,8.3
202210030406,9,11,ミレクイーン,2,54.0,01168,43.4,460,0,5.050000000000001
202210030406,10,7,スカイピース,2,54.0,01018,20.6,462,0,3.8
202210030406,11,10,スプレンディダ,2,54.0,01126,40.5,428,0,6.4
202210030406,12,14,メイショウベニバナ,2,52.0,01185,116.6,446,0,17.9
202210030406,13,1,パクパクデスワ,2,50.0,01187,39.4,418,0,9.45
202210030406,14,12,ケイパラパデオ,2,54.0,01160,266.3,414,0,55.5
202210030407,1,1,テンクウフラワー,3,52.0,01126,4.0,416,+6,1.7
202210030407,2,10,メイショウヒヅクリ,3,49.0,01199,2.7,468,-2,1.35
202210030407,3,2,ケイティレインボー,3,54.0,01142,8.9,464,-8,2.4
202210030407,4,11,ユウグロスファクタ,3,52.0,01171,8.1,502,+4,2.3
202210030407,5,3,アルファマム,3,49.0,01193,6.6,454,-2,2.15
202210030407,6,6,ザモウコダマシイ,4,55.0,01180,53.0,444,-10,10.75
202210030407,7,4,サウンドウイッシュ,4,55.0,01185,43.8,490,-6,7.9
202210030407,8,8,ミヤコシスター,5,51.0,01187,89.8,478,-4,15.350000000000001
202210030407,9,7,ギユウ,3,54.0,01157,6.9,458,+4,2.8
202210030407,10,9,ジダイノチョウジ,3,52.0,01191,17.6,500,-10,4.0
202210030407,11,5,ヤマカツオードリー,3,52.0,01138,278.1,454,+4,42.0
202210030408,1,14,シェイリーン,3,52.0,01126,2.3,486,+2,1.25
202210030408,2,11,ペルアア,3,52.0,01174,8.1,480,0,2.95
202210030408,3,6,ワンダフルトゥデイ,3,54.0,00732,14.2,502,-8,3.8
202210030408,4,1,バハルダール,3,54.0,01160,7.4,488,-8,2.2
202210030408,5,15,パイプライナー,5,57.0,01154,19.1,510,+2,3.75
202210030408,6,3,モズブーナー,3,49.0,01193,4.0,474,-2,1.55
202210030408,7,8,ポルテーニャ,3,52.0,01116,125.6,424,-4,21.45
202210030408,8,9,ジョイフルダンサー,4,54.0,01176,198.6,436,-4,20.75
202210030408,9,5,シゲルカンガルー,3,54.0,01130,273.3,480,+1,37.05
202210030408,10,2,グレイトショーマン,3,52.0,01185,50.0,516,+3,8.9
202210030408,11,12,アメリカンベイビー,5,57.0,01018,86.0,482,-6,11.5
202210030408,12,10,メリーセンス,3,52.0,01191,203.7,494,0,28.75
202210030408,13,13,トランキリテ,3,54.0,01157,11.8,462,+8,3.2
202210030409,1,8,スズノマーベリック,3,54.0,01014,4.4,452,-12,1.7
202210030409,2,2,ミステリーウェイ,4,57.0,01018,5.2,484,-6,1.9
202210030409,3,7,エイカイファントム,4,57.0,05429,30.0,498,-10,6.1
202210030409,4,1,ミッキーワンダー,3,54.0,01102,15.7,458,-8,3.85
202210030409,5,5,メイショウウネビ,3,54.0,01168,2.7,456,-4,1.4
202210030409,6,10,マッハモンルード,4,55.0,01180,4.8,494,-4,1.8
202210030409,7,4,ロードマゼラン,3,54.0,01126,10.9,492,-6,2.9
202210030409,8,13,リュウセイグン,4,57.0,00732,115.3,512,-8,14.0
202210030409,9,12,ジャカランダ,3,54.0,01116,40.3,570,-2,7.85
202210030409,10,11,スワーヴジョーダン,4,57.0,01154,107.3,442,-2,15.7
202210030409,11,6,エメヴィベール,3,54.0,01157,94.4,556,0,19.3
202210030409,12,9,アストゥーリアス,5,57.0,01174,158.2,472,+4,20.85
202210030409,13,3,クルーク,4,57.0,01171,72.6,542,+4,12.25
202210030410,1,2,トゥルーヴィル,5,56.0,01102,8.8,466,-2,2.2
202210030410,2,10,アトミカ,7,52.0,01193,11.0,448,-6,2.8
202210030410,3,8,セグレドスペリオル,6,54.0,01154,48.4,484,+2,7.300000000000001
202210030410,4,6,メイショウカクウン,7,53.0,01168,47.9,462,+12,5.949999999999999
202210030410,5,9,サトノペルセウス,4,56.0,01174,2.5,490,-6,1.4
202210030410,6,7,ホウオウジョルノ,4,54.0,00660,8.3,470,+8,2.65
202210030410,7,5,メイショウベッピン,5,54.0,01180,13.7,502,+12,2.9000000000000004
202210030410,8,1,アトリビュート,5,54.0,01126,2.6,458,+4,1.25
202210030410,9,3,ハローユニコーン,8,53.0,01018,59.6,474,-2,6.8
202210030410,10,4,ベストクィーン,6,51.0,01138,30.2,438,+2,4.8
202210030411,1,12,ゲンパチルシファー,6,56.0,01088,7.0,520,-4,2.25
202210030411,2,10,ヒストリーメイカー,8,56.0,01185,92.7,520,-10,15.149999999999999
202210030411,3,9,サクラアリュール,7,56.0,01116,45.7,478,-8,9.2
202210030411,4,3,ロードレガリス,7,56.0,01168,51.3,522,+6,13.85
202210030411,5,14,ヴェルテックス,5,58.0,01171,32.2,528,0,7.25
202210030411,6,6,アンセッドヴァウ,5,56.0,01180,252.0,468,+10,47.85
202210030411,7,2,サンライズノヴァ,8,58.0,01154,13.5,534,+3,3.65
202210030411,8,5,メイショウウズマサ,6,56.0,01102,7.4,502,0,2.5999999999999996
202210030411,9,4,エブリワンブラック,5,56.0,01174,36.3,496,+10,9.35
202210030411,10,7,アルドーレ,7,56.0,01018,6.2,494,+6,2.25
202210030411,11,15,サンライズウルス,4,56.0,00660,5.0,484,+2,2.35
202210030411,12,16,ラーゴム,4,56.0,01157,4.9,522,-4,2.25
202210030411,13,1,エアアルマス,7,57.0,01126,10.9,492,+4,3.7
202210030411,14,8,エクレアスパークル,8,56.0,01160,16.6,474,-2,4.5
202210030411,15,11,トップウイナー,6,56.0,01147,93.3,460,-8,15.35
202210030411,16,13,ユニコーンライオン,6,56.0,01128,16.1,516,-8,6.1
202210030412,1,7,テイエムトッキュウ,4,57.0,01102,1.8,498,-2,1.25
202210030412,2,4,ジュストコル,4,57.0,01171,6.2,508,+2,2.5
202210030412,3,3,コンクパール,3,52.0,01014,3.5,486,+8,2.0
202210030412,4,6,ジューンベロシティ,4,57.0,01168,6.1,470,+6,2.5
202210030412,5,1,ファイアーボーラー,6,57.0,01116,33.9,472,0,9.25
202210030412,6,2,テーオーアマゾン,6,57.0,01126,14.7,480,-6,5.0
202210030412,7,5,アイアンムスメ,4,55.0,01180,92.7,424,-18,20.15
202202011001,1,7,ワタシダケドナニカ,2,54.0,01170,3.6,474,+4,1.35
202202011001,2,5,マニバドラ,2,54.0,00666,2.8,494,0,1.5
202202011001,3,4,フクノワカバ,2,51.0,01202,14.5,454,-8,3.25
202202011001,4,6,ベアカワイコチャン,2,54.0,01112,68.1,484,+14,10.0
202202011001,5,3,サルトルーヴィル,2,54.0,01091,8.1,472,-4,2.7
202202011001,6,1,ベベ,2,54.0,01025,7.3,486,+6,2.1
202202011001,7,10,シュガーベイビー,2,54.0,01062,62.6,442,+6,11.25
202202011001,8,9,フルコンタクト,2,52.0,01186,123.3,446,-8,21.2
202202011001,9,8,フォルテース,2,54.0,01144,11.9,434,-8,2.5
202202011001,10,11,キタノグリエル,2,51.0,01192,215.0,466,-2,39.25
202202011001,11,2,カマラードマリー,2,54.0,01093,9.3,460,+4,2.9000000000000004
202202011002,1,8,シルバーブレッド,3,56.0,01144,9.0,432,0,2.2
202202011002,2,12,キングクー,3,56.0,01095,11.5,494,-10,2.8
202202011002,3,11,カイザーレオン,3,56.0,01140,5.2,456,+8,1.8499999999999999
202202011002,4,14,インペラートル,3,56.0,01170,1.7,508,+6,1.15
202202011002,5,6,エコロジェネラス,3,53.0,01192,7.5,494,+2,2.1500000000000004
202202011002,6,3,ヒーローオブチグサ,3,56.0,01109,293.9,474,-10,47.1
202202011002,7,5,ブレッシングクライ,3,56.0,01115,18.7,478,0,3.9
202202011002,8,2,アルカンサス,3,56.0,01127,121.8,460,-12,15.600000000000001
202202011002,9,9,マコトカラカシワ,3,54.0,01025,173.9,438,0,25.45
202202011002,10,10,スプレッドイーグル,3,53.0,01177,245.4,492,-6,35.3
202202011002,11,4,コスモルージュ,3,56.0,01091,99.2,472,+8,13.9
202202011002,12,7,クリノヴィーナス,3,53.0,01182,78.0,470,+4,12.2
202202011002,13,1,ベヴィアーモ,3,56.0,01178,22.2,464,-4,4.8
202202011003,1,3,マイネルシーマー,3,56.0,01091,4.2,484,+6,1.8
202202011003,2,6,ナンベイコー,3,54.0,01095,12.7,434,+18,2.45
202202011003,3,2,ナザレ,3,51.0,01200,56.1,452,+2,12.45
202202011003,4,10,アクロビンジャー,3,56.0,01144,4.9,458,-2,1.9000000000000001
202202011003,5,5,ララアンセストラル,3,54.0,01186,14.2,470,0,3.75
202202011003,6,1,クトゥネシリカ,3,56.0,01115,101.3,412,-4,13.85
202202011003,7,4,ベアーザベル,3,54.0,00666,2.3,436,0,1.4500000000000002
202202011003,8,11,ラエール,3,51.0,01192,48.7,408,0,9.5
202202011003,9,13,ヴェンチュラスカイ,3,53.0,01194,103.5,478,-14,22.5
202202011003,10,9,マイネルユヌスール,3,53.0,01177,19.0,478,0,3.6500000000000004
202202011003,11,12,キスアンドテル,3,54.0,01127,11.6,496,+4,2.8499999999999996
202202011003,12,8,フロムドーヴィル,3,54.0,01140,147.1,444,0,26.25
202202011003,13,14,ダイメイミライ,3,56.0,01109,164.0,470,-2,23.5
202202011003,14,7,チムドンドン,3,53.0,01182,30.9,440,-4,5.35
202202011004,1,4,チャオバンビーナ,3,54.0,01095,15.7,426,-2,4.1
202202011004,2,1,イラーレ,3,54.0,00666,2.2,424,-2,1.2999999999999998
202202011004,3,5,ワンリオン,3,53.0,01192,8.1,494,+4,2.05
202202011004,4,6,デルマゴモリー,3,51.0,01177,116.0,420,+6,22.549999999999997
202202011004,5,10,ベルベリス,3,54.0,01115,29.9,456,+10,6.9
202202011004,6,12,ベルウッドツクバ,3,56.0,01127,5.8,476,+2,1.9
